r_R,alpha,phi,a,aline,Ct,Cx,Cy,Cq,Cp
0.25009251993142534,-4.762816997695353,72.25819100112409,-0.05416901345778213,0.07562237050365112,0.03544472941915493,-0.010137025154365051,0.004632860447113914,0.018656062793548304,0.0014177891767661974
0.25046250835112444,-4.749815749086892,72.22669033153066,-0.02384087315794934,0.045586590885615036,0.03544472941915493,-0.009670849636038918,0.0060626283473612114,0.018656062793548304,0.0014177891767661974
0.25120212005662157,-4.735301108024771,72.1751951051937,-0.014108074484171397,0.03593624039364755,0.03544472941915493,-0.00914637334141328,0.007660828709145118,0.018656062793548304,0.0014177891767661974
0.2523106251404579,-4.719775038672438,72.10424378164954,-0.009571401005837997,0.031655928922496974,0.03544472941915493,-0.008579583770356133,0.009371733706706685,0.018656062793548304,0.0014177891767661974
0.25378692964194705,-4.702818430347435,72.01347194825009,-0.006931806414540818,0.029490799413248402,0.03544472941915493,-0.007953141804762916,0.011240528425096133,0.018656062793548304,0.0014177891767661974
0.25562957662678254,-4.683971813978019,71.90249298263889,-0.0051742628553198425,0.028411684960765547,0.03544472941915493,-0.007247609973876936,0.013316590618883494,0.018656062793548304,0.0014177891767661974
0.25783674762485576,-4.662822494337547,71.77098511309475,-0.0038905575494528844,0.027982593929308304,0.03544472941915493,-0.006444435065485521,0.015643878121155166,0.018656062793548304,0.0014177891767661974
0.26040626442486653,-4.639017758980174,71.61870453773686,-0.002886418687260965,0.027978202371839837,0.03544472941915493,-0.00552633061811909,0.01825943779705363,0.018656062793548304,0.0014177891767661974
0.26333559122395483,-4.612265598518135,71.4454860373204,-0.002058223925424876,0.028263866759095476,0.03544472941915493,-0.004477249615991278,0.021193293568643325,0.018656062793548304,0.0014177891767661974
0.2666218371302319,-4.582333000898245,71.25124114438665,-0.0013459882632243746,0.028749944476215684,0.03544472941915493,-0.003282307055042253,0.024468609563334392,0.018656062793548304,0.0014177891767661974
0.27026175901574145,-4.549043996138266,71.03595604535118,-0.00071279674787571,0.029371872371238145,0.03544472941915493,-0.0019277307669326362,0.028101890146146447,0.018656062793548304,0.0014177891767661974
0.2742517647170356,-4.512277907808112,70.79968967195633,-0.00013483902286299244,0.030080554242420104,0.03544472941915493,-0.00040085710483421695,0.03210316748869647,0.018656062793548304,0.0014177891767661974
0.27858791658020643,-4.471999581957007,70.54260375294669,0.0004033522316551873,0.03083949304718925,0.03544472941915493,0.0013083272408908123,0.03647875911409049,0.018656062793548304,0.0014177891767661974
0.2832659353468749,-4.428178232450861,70.26488146510711,0.0009130710886825619,0.03161640733152411,0.03544472941915493,0.0032108818395650707,0.04122543360703554,0.018656062793548304,0.0014177891767661974
0.28828120437730237,-4.380835573786484,69.96677535492137,0.0014022485674171164,0.03238517648852718,0.03544472941915493,0.0053164509708203776,0.0463338123036718,0.018656062793548304,0.0014177891767661974
0.2936287742064566,-4.330056850796808,69.64861814047397,0.0018763899662274676,0.03312550410470343,0.03544472941915493,0.007632526008935487,0.05178988302847906,0.018656062793548304,0.0014177891767661974
0.29930336742853614,-4.275974637292208,69.3108062658654,0.0023394668002341685,0.03382114857649106,0.03544472941915493,0.01016496890865789,0.057574179108393,0.018656062793548304,0.0014177891767661974
0.3052993839051328,-4.218766657128825,68.95379746187218,0.002794350213775648,0.03445934114877371,0.03544472941915493,0.012917848211575558,0.06366208683958784,0.018656062793548304,0.0014177891767661974
0.3116109062918918,-4.1586532559508385,68.57810794135627,0.003243100840004139,0.03503031154174937,0.03544472941915493,0.015893273150388777,0.0700242030725887,0.018656062793548304,0.0014177891767661974
0.31823170587821703,-4.09589451407372,68.18430922016286,0.003687166537730131,0.035526879571605795,0.03544472941915493,0.01909123301282046,0.07662674297303408,0.018656062793548304,0.0014177891767661974
