R,n_elem,J,T,A,Q,P,QC,TC
0.7,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
0.7,25.0,1.2,2455.6228702513126,2016.227366994677,942.7190583200606,551040.4835120433,0.0894398906940885,0.3261659927503673
0.7,50.0,1.2,2483.7017956249065,2037.5417259258768,954.7272654170134,557341.3796316418,0.0905791619549214,0.3298955518291619
0.7,75.0,1.2,2491.3881208095204,2043.4636263366224,958.1409096534412,559066.1869697192,0.0909030293517667,0.3309164813516929
0.7,100.0,1.2,2494.7628718217197,2046.0989038683674,959.6753376036196,559823.4793259779,0.09104860725955452,0.3313647297482664
