r_R,alpha,phi,a,aline,Ct,Cx,Cy,Cq,Cp
0.54625,0.43829152987301256,52.249208470126995,0.039620163639524114,0.061843411924590315,0.15913332986842055,0.3576456938099225,0.4790066074903119,0.0660278908108636,6.827197741388594e-05
0.55375,0.46416746980530377,51.848332530194696,0.04002782082285138,0.06073259664972321,0.16062022632879555,0.3627969324905362,0.4788032895802024,0.0660278908108636,6.98560225350765e-05
0.56125,0.486293488675976,51.451206511324024,0.04041911112256046,0.059635356975410385,0.1619962717522638,0.3676670083817658,0.478242267887784,0.0660278908108636,7.140872108230761e-05
0.56875,0.5047039527851922,51.057796047214815,0.04079369371878478,0.05855135443462216,0.1632604245148002,0.37225003241927396,0.47733133586916776,0.0660278908108636,7.292764886760358e-05
0.5762499999999999,0.5194337168208136,50.668066283179186,0.041151230810153185,0.05748027588559472,0.16441158309667234,0.37654023046620294,0.4760781111622972,0.0660278908108636,7.441033005235749e-05
0.58375,0.5304947706783878,50.28200522932161,0.041491818267541024,0.05642222237964099,0.16545036976712457,0.3805359754229021,0.4744934400531965,0.0660278908108636,7.585505316020294e-05
0.5912499999999999,0.5379156479009382,49.899584352099055,0.0418152734754833,0.055377026409256194,0.1663761837354234,0.3842331483375134,0.47258567187604644,0.0660278908108636,7.72595534283622e-05
0.59875,0.5417248234384147,49.52077517656159,0.042121431614173414,0.054344540433395344,0.1671884344218497,0.3876278869777432,0.47036306780055326,0.0660278908108636,7.862155674005963e-05
0.60625,0.5419507351135664,49.145549264886434,0.04241014515747753,0.05332463404862882,0.16788654384736254,0.39071658074830207,0.4678337995892346,0.0660278908108636,7.993878106309812e-05
0.61375,0.53862180316397,48.77387819683603,0.042681283321851345,0.052317191457035665,0.16846994891010925,0.39349586561042704,0.4650059483587798,0.0660278908108636,8.120893791834438e-05
0.62125,0.5317664475268629,48.405733552473144,0.042934731478339566,0.05132210921200597,0.1689381035331165,0.39596261896539797,0.46188750332174167,0.0660278908108636,8.242973386581388e-05
0.62875,0.5214131025803681,48.04108689741963,0.043170390539290976,0.05033929422411982,0.16929048066948535,0.3981139544673653,0.4584863604897845,0.0660278908108636,8.359887199629812e-05
0.63625,0.5075902290966425,47.67990977090336,0.04338817633088231,0.04936866201021123,0.16952657415321784,0.3999472167341113,0.45481032132395743,0.0660278908108636,8.47140534167273e-05
0.64375,0.4903374452771132,47.32216255472289,0.043587794924141755,0.04840996880103488,0.16964499712090744,0.4014578670484203,0.45086549084335403,0.0660278908108636,8.577252202710949e-05
0.65125,0.4696847065358014,46.9678152934642,0.04376915408214947,0.04746312898843955,0.16964515688991258,0.40264336449200616,0.44665929084034434,0.0660278908108636,8.677189526621006e-05
0.65875,0.4456517873479271,46.61684821265207,0.043932383687960264,0.04652821125621264,0.16952732584198857,0.40350335215677496,0.4422005120056862,0.0660278908108636,8.771022417595308e-05
0.66625,0.4182672683466535,46.26923273165335,0.044077451450817255,0.04560515496681414,0.16929109673115178,0.40403603828282597,0.43749658076269216,0.0660278908108636,8.858521058626863e-05
0.67375,0.3875597751615061,45.92494022483849,0.04420433687453052,0.044693902260809625,0.16893609005076166,0.40423983416708303,0.4325548214962965,0.0660278908108636,8.939456141018351e-05
0.68125,0.3535579701592795,45.58394202984071,0.044313030746043196,0.043794397477878465,0.1684619547949747,0.40411334775922253,0.4273824547111531,0.0660278908108636,9.013598986822927e-05
0.68875,0.3162905403094598,45.24620945969054,0.04440353467750874,0.042906586731353245,0.16786836901244082,0.40365537699496623,0.42198659509219993,0.0660278908108636,9.080721662738428e-05
0.69625,0.27578618096976726,44.911713819030226,0.044475860712329326,0.04203041762920404,0.16715504014407231,0.4028649028417523,0.41637424945769885,0.0660278908108636,9.140597084150208e-05
0.70375,0.2320735753322225,44.58042642466778,0.04453003100650129,0.04116583913616743,0.16632170513487265,0.40174108202727987,0.410552314590733,0.0660278908108636,9.192999107879109e-05
0.7112499999999999,0.1851813692001727,44.25231863079983,0.04456607759796459,0.040312801573773566,0.16536813030741318,0.40028323941543886,0.40452757493020497,0.0660278908108636,9.237702612010192e-05
0.71875,0.13513814066991614,43.927361859330084,0.044584042278457796,0.0394712567573383,0.16429411098109173,0.39849085998559997,0.3983067000956923,0.0660278908108636,9.274483560924994e-05
0.72625,0.0819723641727208,43.60552763582728,0.04458397658487319,0.03864115827170075,0.16309947081708528,0.39636358036060554,0.39189624221259506,0.0660278908108636,9.303119053337565e-05
0.73375,0.025712368148127496,43.28678763185187,0.04456594192995814,0.03782246189042073,0.16178406086183791,0.3939011798119326,0.3853026329916358,0.0660278908108636,9.32338735065493e-05
