r_R,alpha,phi,a,aline,Ct,Cx,Cy,Cq,Cp,N,T
0.25375000000000003,-4.7032156161684355,72.01571561616845,-0.006978886401842109,0.029524982257275855,-0.005385521726911405,-0.007967905801656487,0.011196760511090966,0.018732677370089143,0.16063124055421324,-1.9239661008236157,2.7036197714462196
0.26125,-4.63128960512141,71.56878960512141,-0.0026220386073107925,0.02803837473706659,-0.0034687587100253655,-0.005225131569808399,0.01910759002697539,0.018732677370089143,0.16063124055421324,-1.2758334154808548,4.665547942674648
0.26875000000000004,-4.562895481449289,71.12539548144929,-0.0009606420503514655,0.02910787249517996,-0.0016192423246346762,-0.0024946142364264297,0.026591287837561126,0.018732677370089143,0.16063124055421324,-0.6126661732582103,6.530702151681811
0.27625,-4.4937540264216125,70.68125402642161,0.00012273945768129823,0.030433338459042267,0.0002414255326941472,0.0003804961401189435,0.03411587928911943,0.018732677370089143,0.16063124055421324,0.09389642721133493,8.418900584431995
0.28375,-4.423623660227761,70.23612366022775,0.0009625672810570836,0.03169364471989314,0.002116564880535003,0.0034111872287795157,0.041717776026084806,0.018732677370089143,0.16063124055421324,0.8455339272688744,10.340621207379272
0.29125,-4.352675128129391,69.79017512812938,0.0016706379513312538,0.032806422275989254,0.004002993449291176,0.006593509731896678,0.049362567926865906,0.018732677370089143,0.16063124055421324,1.6413998747740226,12.28840421994414
0.29874999999999996,-4.28125349605466,69.34375349605466,0.0022958354041949856,0.033757312099610415,0.005893441639096695,0.009914791845031768,0.0570108158393439,0.018732677370089143,0.16063124055421324,2.4787942706802295,14.253257746423074
0.30625,-4.2097015211872275,68.89720152118723,0.0028637451431518107,0.0345517655635676,0.007780832086207835,0.01336109388759815,0.06462381950000141,0.018732677370089143,0.16063124055421324,3.3547929604260904,16.226181520637745
0.31375,-4.138334366466665,68.45083436646667,0.003389298842847164,0.03520176597283797,0.0096587335656515,0.016918340763632876,0.0721663468959026,0.018732677370089143,0.16063124055421324,4.2664582810843354,18.198871427833456
0.32125000000000004,-4.06743465900044,68.00493465900044,0.0038818999530219034,0.03572099053537274,0.011521421270666299,0.020572689440127193,0.07960713467071588,0.018732677370089143,0.16063124055421324,5.210900437563626,20.16386112744699
0.32875,-3.9972511472578134,67.55975114725781,0.004347745497142266,0.03612285784332324,0.013363633614748623,0.024310297536649907,0.08691858644282197,0.018732677370089143,0.16063124055421324,6.185202236792964,22.11445723667233
0.33625,-3.9279503200946237,67.11545032009462,0.004789785555791298,0.03641861012214131,0.01517643413049724,0.028109849223125965,0.09407337767602765,0.018732677370089143,0.16063124055421324,7.184484577190779,24.04384049422887
0.34375,-3.859792195044321,66.67229219504432,0.005212706905909666,0.03662111032799113,0.01696062820695193,0.031967135111412706,0.10105394107269544,0.018732677370089143,0.16063124055421324,8.208205549087047,25.9476339365138
0.35125,-3.7929516032911437,66.23045160329114,0.00561876504830301,0.03674050213600866,0.018712677971859066,0.03586982833101658,0.1078421350566985,0.018732677370089143,0.16063124055421324,9.253709449320283,27.821147483611686
