r_R,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7
0.25009251993142534,0.013642305960211227,-0.0005493334844211683,0.004600661010340968,0.00461156446880014,0.004611564151421951,0.004611564153146765,0.004611564151421951,
0.25046250835112444,0.02762644518154301,0.011660447013770399,0.020266257356637063,0.020276727946963908,0.020276742206345438,0.0202767422042847,0.020276742206345438,
0.25120212005662157,0.04141039416541965,0.024509761037440413,0.037866731081511236,0.0378750895649407,0.037875094544909456,0.037875094542643956,0.037875094544909456,
0.2523106251404579,0.07550841277135563,0.055122553260716786,0.05574806619554613,0.0557492602918223,0.05574926025283598,0.05574926025526403,0.05574926025283598,
0.25378692964194705,0.08944202379512534,0.06866645458774316,0.07367143866334683,0.07368229902066556,0.07368229895996808,0.07368229896253194,0.07368229895996808,
0.25562957662678254,0.10316682309731254,0.08190793177776642,0.09164508767881448,0.09165962031917385,0.09165962051951257,0.09165962051681484,0.09165962051951257,
0.25783674762485576,0.1165138196826716,0.09480159347175492,0.10971714272849936,0.10971971069082252,0.10971971280956931,0.10971971280675401,0.10971971280956931,
0.26040626442486653,0.1293869082712776,0.10725324507571736,0.1279023265056195,0.12790233374501048,0.12790233374794077,0.12790233374501048,,
0.26333559122395483,0.16629533190035684,0.14167770956378078,0.14625853643409553,0.1462643104915578,0.14626430927997908,0.14626430928303194,0.14626430927997908,
0.2666218371302319,0.1782455458261469,0.1533457552506483,0.16483485195696485,0.1648463946881514,0.16484639065707365,0.16484639066023857,0.16484639065707365,
0.27026175901574145,0.18945837047912253,0.16432329256095946,0.1836881904381177,0.18369611145815537,0.18369611597384977,0.1836961159705761,0.18369611597384977,
0.2742517647170356,0.22728770935358683,0.19990097435366144,0.20284059589721823,0.20284640061790982,0.2028464003940151,0.20284640039739585,0.2028464003940151,
0.27858791658020643,0.23698176622712824,0.20951858949749197,0.22232251555832594,0.2223201324114601,0.22232012840951856,0.22232012840603418,0.22232012840951856,
0.2832659353468749,0.2458269125621268,0.21830640158986125,0.24212088442246993,0.2421290054879434,0.24212900815848412,0.24212900815487914,0.24212900815848412,
0.28828120437730237,0.28331433059144473,0.2537620435345341,0.2622786761518897,0.2622827192256275,0.26228271699451805,0.2622827169982321,0.26228271699451805,
0.2936287742064566,0.290279573666546,0.2608216177971138,0.28277189940988967,0.282776925786575,0.28277692895323164,0.2827769289570457,0.28277692895323164,
0.29930336742853614,0.3277308296722268,0.2963510463308014,0.303591469237658,0.3036032199082561,0.3036032238096626,0.30360322381358446,0.3036032238096626,
0.3052993839051328,0.33270967239247323,0.30149939817692134,0.3247473721794317,0.32474904834393936,0.32474904557612894,0.3247490455801781,0.32474904557612894,
0.3116109062918918,0.3698353614649856,0.3367899490670669,0.346178899977889,0.3461789268273721,0.346178926807137,0.34617892681129664,0.346178926807137,
0.31823170587821703,0.3727650716388413,0.34001921648576466,0.36786061124665753,0.3678632343101458,0.367863235315002,0.367863235315002,,
0.3251552487342554,0.40937604269752875,0.37486671606243993,0.3897641552451261,0.3897695314213245,0.3897695375262789,0.3897695375219072,0.3897695375262789,
0.3323747021590976,0.44656265546332674,0.4103264514854556,0.41186130327825526,0.41185815144849197,0.4118581518183371,0.4118581518138283,0.4118581518183371,
0.33988294142382836,0.44632160275958216,0.41051692489785824,0.4340296045680308,0.43405177841666753,0.4340517988730153,0.43405179887762574,0.4340517988730153,
0.3476725568027742,0.4829197752930411,0.44536285623214894,0.4563124020331404,0.4563341251403315,0.4563341250888005,0.45633412509352106,0.4563341250888005,
0.3557358608860077,0.48082627144819556,0.4437237508966114,0.4786592665937297,0.47866059668920563,0.4786605939723349,0.47866059397720023,0.4786605939723349,
0.3640648961658932,0.5169740413552937,0.47811077502700433,0.5009266291587359,0.500954037016899,0.5009540693349683,0.5009540693299882,0.5009540693349683,
0.37265144289018615,0.5537148921185632,0.5131916045607952,0.5231633114873072,0.5231856427975292,0.5231856427566692,0.5231856427617468,0.5231856427566692,
0.381487027173936,0.5488993226891226,0.5089107661100337,0.5452808925456379,0.5452908557548138,0.5452908584050941,0.5452908584050941,,
0.3905629293621876,0.5853492339431936,0.5436410555158513,0.5671790961713471,0.5672036548089563,0.5672036872934592,0.5672036872987929,0.5672036872934592,
0.3998701926352282,0.6226826256418535,0.5791461566171511,0.58895423626943,0.5889352917987714,0.5889351978700978,0.5889351978646629,0.5889351978700978,
0.4093996318478868,0.6155813682814864,0.5726082206075065,0.6103533152428524,0.6103595472113342,0.6103595495888534,0.6103595495888534,,
0.41914184259416365,0.6530547403779369,0.6082110921384059,0.63156615987958,0.6315290646635792,0.6315289483234052,0.6315289483177179,0.6315289483234052,
0.42908721048824355,0.6917122987861641,0.6449162147115185,0.652304561816976,0.6523056075460693,0.6523056070095483,0.6523056070154019,0.6523056070095483,
0.4392259206527338,0.6828779004528381,0.6366137298400888,0.6727957572898587,0.6727635070765415,0.6727636952564839,0.6727636952625062,0.6727636952564839,
0.4495479674047634,0.7222446277962626,0.6739477097923369,0.692698218781905,0.692737931914615,0.6927379318550092,0.6927379318611171,0.6927379318550092,
0.4600431641303839,0.7126477682890867,0.6648803330557507,0.712315568506232,0.7123164239891724,0.7123164240094385,0.7123164240094385,,
0.47070115333752754,0.7529888116220592,0.7030466487112101,0.73144811968777,0.7314110164937893,0.7314109119427862,0.731410911936436,0.7314109119427862,
0.4815114168776016,0.7952553448459103,0.7429939514224033,0.7499658837045949,0.7499673010090887,0.7499673003535745,0.7499673003600985,0.7499673003535745,
0.49246328632563074,0.7849931177152136,0.7330970884442729,0.7680113781261505,0.7680311787392917,0.7680311636336475,0.7680311636403473,0.7680311636336475,
0.5035459535087052,0.8290295459784712,0.7747324640153177,0.7855970760657398,0.7855540226994041,0.7855536776439421,0.7855536776318884,0.7855536776318884,
0.514748481172342,0.8186116936179639,0.7646058720876358,0.8024356065211766,0.8024097958533629,0.8024097499417389,0.8024097499348137,0.8024097499417389,
0.5260598137742343,0.8652362822553207,0.8084633288516422,0.8186736061752014,0.8186783820971129,0.8186783792611371,0.8186783792682379,0.8186783792611371,
0.537468788394738,0.8551918980581674,0.7986168464783248,0.834274676429787,0.8343251348917151,0.834325204893536,0.834325204893536,,
0.548964145753325,0.9047761333670237,0.8452458585054833,0.8493342855984792,0.8493161203536921,0.849316125270297,0.8493161252777505,0.849316125270297,
0.5605345413201335,0.8952287859863132,0.8357120931157793,0.8636890614188876,0.8636174088079561,0.8636175416728934,0.8636175416805227,0.8636175416728934,
0.5721685565116497,0.8861852094187008,0.8266257484582761,0.8772228853772605,0.8771964738002176,0.8771966391829039,0.8771966391907078,0.8771966391829039,
0.5838547099594715,0.9403924388912501,0.8774088706361808,0.8900996763435406,0.8900216284335606,0.8900216916548129,0.8900216916627903,0.8900216916548129,
0.5955814688410324,0.9322662550727366,0.869085958876082,0.9021643972538245,0.9020521917099643,0.9020515984680633,0.9020515984456349,0.9020515984536089,0.9020515984456349
0.6073372602611047,0.9248259937248458,0.8613802329386213,0.9133561433840927,0.9132867333300215,0.9132865921353727,0.9132865921272317,0.9132865921353727,
0.6191104826728511,0.9855246746825754,0.9179438985930911,0.9237147696219856,0.9236782296523556,0.9236782425460955,0.9236782425545794,0.9236782425460955,
0.6308895173271492,0.9796389417919219,0.911580727382627,0.9332834402870989,0.9332024241655447,0.9332025313797909,0.9332025313884391,0.9332025313797909,
0.6426627397388953,0.9746717293564412,0.9060466359247299,0.9418775316456616,0.9418410644226706,0.9418411846028478,0.9418411846116549,0.9418411846028478,
0.6544185311589676,0.9706134331644205,0.9013957846843428,0.9495144058414116,0.9495750843533759,0.9495751590152505,0.9495751590242133,0.9495751590152505,
0.6661452900405285,0.9672117277233944,0.8974055970959909,0.956374057765521,0.9563882889259693,0.9563882978653346,0.9563882978562199,0.9563882978653346,
0.6778314434883503,0.9649265352832759,0.8943461023036994,0.9622699199890321,0.9622674421848599,0.9622674417181327,0.9622674417181327,,
0.6894654586798667,1.0405660082810413,0.9638361524764765,0.9671911316647998,0.9672024925626818,0.9672024922075259,0.9672024921981238,0.9672024922075259,
0.7010358542466751,1.0416599770223296,0.9638792811365271,0.9712066058900615,0.9711749915362794,0.9711750044875335,0.9711750044972376,0.9711750044875335,
0.712531211605262,1.0441994192537953,0.9650868818973047,0.9740633506859206,0.9740470475598122,0.9740470556757963,0.9740470556856319,0.9740470556757963,
0.7239401862257657,1.0484070319937302,0.9677852561552415,0.9759394825074098,0.9759454188274004,0.9759454166694752,0.9759454166794357,0.9759454166694752,
0.7352515188276582,1.054425562450378,0.972097880787043,0.9768566546890011,0.9768723700334505,0.976872369272626,0.9768723692827057,0.976872369272626,
0.7464540464912948,0.9781062398967273,0.9004361281605329,0.9767914836888242,0.9767970276007478,0.9767970279875828,0.9767970279979238,0.9767970279875828,
0.7575367136743693,0.9858122783451452,0.90643402974212,0.9755870917320403,0.9756138658529813,0.9756138802033808,0.975613880192934,0.9756138802033808,
0.7684885831223984,0.995627885042843,0.9142453119244311,0.9734557135940183,0.97346867745937,0.9734686923315248,0.9734686923420711,0.9734686923315248,
0.7792988466624725,1.0077708689858067,0.9241127853311286,0.9704020811825427,0.9703615377662022,0.9703616809354588,0.9703616809462291,0.9703616809354588,
0.7899568358696161,1.0224964470167341,0.9362540590194784,0.9661095553968979,0.9661485761190994,0.9661485433055687,0.9661485433164234,0.9661485433055687,
0.8004520325952367,1.0401057651542291,0.9509249169370245,0.9609722984867134,0.9610072708887266,0.9610072690044631,0.9610072690153947,0.9610072690044631,
0.8107740793472663,0.9684281847623298,0.8840607691488701,0.9548623291181892,0.954900626072413,0.9549006138390994,0.9549006138502238,0.9549006138390994,
0.8209127895117566,0.9890228584101588,0.901498917722004,0.9476764053805473,0.9477716483074171,0.9477718404029339,0.947771840414121,0.9477718404029339,
