R,n_elem,J,T,A,Q,P
0.7,100.0,1.2,2494.76287182172,2046.0989038683676,959.6753376036196,559823.4793259779
0.7,100.0,1.2,2501.115290576372,2051.2697802586026,962.7799436391655,561248.9587611308
