r_R,iter_0,iter_1
0.25375000000000003,0,-0.036857124810259725
0.26125,0,-0.023376523906719134
0.26875000000000004,0,-0.017633705697733898
0.27625,0,-0.01409123943931214
0.28375,0,-0.011599345670697364
0.29125,0,-0.009724074901010106
0.29874999999999996,0,-0.008254308745386135
0.30625,0,-0.0070710014334980364
0.31375,0,-0.0061001710478735946
0.32125000000000004,0,-0.0052925705469294045
0.32875,0,-0.004613707806814659
0.33625,0,-0.00403846656038673
0.34375,0,-0.003547635207488219
0.35125,0,-0.0031267349689901936
0.35875,0,-0.0027648250522987724
0.36624999999999996,0,-0.0024528021399709585
0.37375,0,-0.0021832996192802843
0.38125,0,-0.0019502852146097089
0.38875,0,-0.0017487686560977564
0.39625,0,-0.0015745848992741555
0.40375,0,-0.0014242304796711778
0.41125,0,-0.0012947380352314798
0.41874999999999996,0,-0.0011835787623492627
0.42625,0,-0.0010885856577626148
0.43374999999999997,0,-0.0010078924584477835
0.44125000000000003,0,-0.0009398845955930366
0.44875,0,-0.0008831594538570565
0.45625,0,-0.0008364939161469219
0.46375,0,-0.0007988176687147202
0.47125,0,-0.0007691911014669945
0.47875,0,-0.0007467869040286943
0.48624999999999996,0,-0.000730874656450882
0.49375,0,-0.000720807863198857
0.50125,0,-0.0007160129932767331
0.50875,0,-0.0007159801772930615
0.51625,0,-0.0007202552805905982
0.5237499999999999,0,-0.0007284331250656173
0.53125,0,-0.0007401516745259407
0.53875,0,-0.0007550870319937453
0.54625,0,-0.0007729491242093069
0.55375,0,-0.0007934779702129789
0.56125,0,-0.0008164404483939651
0.56875,0,-0.0008416274906642113
0.5762499999999999,0,-0.0008688516441037208
0.58375,0,-0.0008979449500524722
0.5912499999999999,0,-0.0009285650060388191
0.59875,0,-0.0009607233765858138
0.60625,0,-0.0009943442951275275
0.61375,0,-0.0010293217599805994
0.62125,0,-0.001065562130316685
0.62875,0,-0.0011029832273214432
0.63625,0,-0.0011415135662250558
0.64375,0,-0.0011810917069602952
0.65125,0,-0.0012216657134696998
0.65875,0,-0.0012631735610491063
0.66625,0,-0.0013055580513356376
0.67375,0,-0.0013488346461558998
0.68125,0,-0.001392985933600218
0.68875,0,-0.0014380027127621376
0.69625,0,-0.0014838840003265129
0.70375,0,-0.0015306371272375927
0.7112499999999999,0,-0.0015781820702104711
0.71875,0,-0.0016265118507797442
0.72625,0,-0.0016757871694066955
0.73375,0,-0.0017260513821842811
0.74125,0,-0.0017773582203275196
0.74875,0,-0.0018297726128825343
0.75625,0,-0.0018829686745083824
0.7637499999999999,0,-0.0019372772296226233
0.77125,0,-0.0019929653117999554
0.77875,0,-0.0020501542416633154
0.78625,0,-0.002108984126948775
0.79375,0,-0.0021690962718452873
0.80125,0,-0.002230968317163923
0.80875,0,-0.0022950391806941346
0.8162499999999999,0,-0.002361554898714691
0.82375,0,-0.0024306807518124952
0.83125,0,-0.0025022349703598245
0.83875,0,-0.0025772257835278266
0.84625,0,-0.0026561037451605027
0.85375,0,-0.0027394004723897882
0.86125,0,-0.0028260681821054203
0.8687499999999999,0,-0.002918468507163721
0.87625,0,-0.0030175465255077812
0.88375,0,-0.0031242350986189836
0.89125,0,-0.0032376241080857267
0.8987499999999999,0,-0.0033617751683115214
0.90625,0,-0.0034988358363245184
0.91375,0,-0.003648248282994738
0.9212499999999999,0,-0.003811174924202309
0.92875,0,-0.003997837545982825
0.93625,0,-0.004214972565803621
0.94375,0,-0.004381865841327118
0.9512499999999999,0,-0.004580533212831838
0.95875,0,-0.0048432722012749655
0.96625,0,-0.005203215505985697
0.9737499999999999,0,-0.005724180385584127
0.98125,0,-0.006550513964120788
0.98875,0,-0.00811430247143245
0.99625,0,-0.012989049231699577
