r_R,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
0.25375000000000003,0.08962644638467189,0.06880324194424774,0.07327201917481492,0.07328205519909675,0.07328205514649573,0.07328205514905643,0.07328205514649573
0.26125,0.1499690201311248,0.12624021267643193,0.133392401435443,0.13340449122364642,0.1334044931395527,0.13340449314252015,0.1334044931395527
0.26875000000000004,0.19573479731359056,0.16984713816322228,0.1760452922705375,0.17605348674997257,0.17605349187299207,0.17605349187621744,0.17605349187299207
0.27625,0.21879420060097773,0.19233355594953197,0.21195746105458493,0.21196991326586204,0.21196992118724406,0.2119699211838069,0.21196992118724406
0.28375,0.27321013127743005,0.24382584226409829,0.24412037375795706,0.24412049947636277,0.2441204994727457,0.2441204994727457,
0.29125,0.3009032544779753,0.2705185304809767,0.2737758460536664,0.2737800731838882,0.2737800772154908,0.27378007721173053,0.2737800772154908
0.29874999999999996,0.3303107371059378,0.29870946783317004,0.30160402688460763,0.30161072388870014,0.3016107238797986,0.3016107238758888,0.3016107238797986
0.30625,0.32847170021258926,0.29760119092562837,0.32802823618189275,0.32802814073394526,0.32802814072989506,0.32802814072989506,
0.31375,0.3598678644712975,0.3275766944887306,0.35328091951563145,0.35327690030030473,0.35327691114878357,0.3532769111529862,0.35327691114878357
0.32125000000000004,0.39292424840547346,0.35915691537529093,0.377497156487438,0.3775056470220377,0.37750564323665947,0.3775056432409802,0.37750564323665947
0.32875,0.4277999366459252,0.39241022097113126,0.40084944378564763,0.4008549205242846,0.4008549180710124,0.40085491807545265,0.4008549180710124
0.33625,0.4274831366723132,0.39254620542924595,0.4234077400985992,0.4234047630859663,0.4234047618810862,0.42340476187654325,0.4234047618810862
0.34375,0.4644811571026117,0.42780306993002587,0.4452261000952389,0.44521470675561176,0.4452147219794479,0.44521472198412926,0.4452147219794479
0.35125,0.5036322521967402,0.46503156629152564,0.4663240238290795,0.46632459566082957,0.46632459561417977,0.4663245956189644,0.46632459561417977
0.35875,0.5044586513817677,0.466131536150753,0.4868049504036818,0.4868097497624869,0.4868097560186077,0.4868097560186077,
0.36624999999999996,0.5461887647984002,0.5058456890142482,0.506691281721642,0.5066894754159591,0.5066894755293911,0.5066894755243719,0.5066894755293911
0.37375,0.5478955257742687,0.5077372968958973,0.5259544291073652,0.5259722479169667,0.525972259264859,0.525972259264859,
