R,n_elem,J,Total Thrust,Total azimuthal,Torque,Total Power
0.7,100.0,1.2,2389.584755070148,1937.418901003708,906.7644423380224,536221.5651184673
0.7,100.0,1.3666666666666667,1651.4948747747198,1440.6880675282832,669.8147520278287,325400.1219115059
0.7,100.0,1.5333333333333332,1147.453152659407,1074.5631935840609,496.0446567195762,201512.258090678
0.7,100.0,1.7,790.3528500526455,794.3595634422547,363.61219754506885,125191.59869592336
0.7,100.0,1.8666666666666667,529.6551541297129,573.1678706994776,259.4441460350212,76406.36056300449
0.7,100.0,2.033333333333333,334.54643347556106,394.0430411565791,175.3448629896347,44304.81292376301
0.7,100.0,2.2,185.46635166306504,245.9105126811213,105.97694948586808,22701.02835867998
0.7,100.0,2.3666666666666667,69.51452448093892,121.22535764709563,47.71944285841826,7909.363681464587
0.7,100.0,2.533333333333333,-22.016688534697582,14.772938478506044,-1.9235796726825596,-2340.252641401598
0.7,100.0,2.7,-95.22132867134233,-77.2242495576011,-44.75266363451854,-9496.718305363434
