r_R,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40,iter_41,iter_42,iter_43,iter_44,iter_45,iter_46,iter_47,iter_48,iter_49,iter_50,iter_51,iter_52,iter_53,iter_54,iter_55,iter_56,iter_57,iter_58,iter_59,iter_60,iter_61,iter_62,iter_63,iter_64,iter_65,iter_66,iter_67,iter_68,iter_69,iter_70,iter_71,iter_72,iter_73,iter_74,iter_75,iter_76,iter_77,iter_78,iter_79,iter_80,iter_81,iter_82,iter_83,iter_84,iter_85,iter_86,iter_87,iter_88,iter_89,iter_90,iter_91,iter_92,iter_93,iter_94,iter_95,iter_96,iter_97,iter_98,iter_99,iter_100,iter_101,iter_102,iter_103,iter_104,iter_105,iter_106,iter_107
0.25375000000000003,0.1,-0.3355001603618291,-0.23046778182781896,-0.14589053384161185,-0.08068118343236805,-0.032232374694866756,0.0036558448712907463,0.031168566771015097,0.05315235410178236,0.07170521932830037,0.08778893575120286,0.1019343837537453,0.11444563148485498,0.12553515201527943,0.13537212290155073,0.14410023348901835,0.1518449286770701,0.15871692606334487,0.16481434886079244,0.17022428584396188,0.17502406628959757,0.179282357748702,0.18306013177519515,0.18641152041390546,0.1893845778964274,0.1920219585047326,0.1943615197945372,0.19643685923594412,0.19827779145211,0.19991077248777284,0.2013592768728146,0.20264413264457212,0.20378381894857084,0.2047947303458043,0.20569141151158665,0.2064867656124758,0.2071922392900617,0.20781798685994685,0.20837301604753491,0.20886531732608052,0.20930197869381048,0.20968928752303032,0.21003282093244163,0.21033752597209163,0.21060779076635977,0.21084750763227228,0.21106012907648405,0.21124871747298407,0.21141598913355508,0.21156435340302868,0.2116959473403222,0.21181266648313724,0.21191619213815843,0.21200801558882876,0.21208945956860922,0.21216169730841616,0.21222576943211924,0.21228259894310744,0.21233300451749906,0.21237771229525948,0.21241736633889888,0.21245253791026886,0.21248373369898402,0.21251140312091715,0.21253594479184174,0.21255771226942202,0.21257701914623423,0.21259414356714917,0.2126093322361354,0.21262280397017835,0.21263475285150404,0.2126453510235049,0.21265475117063537,0.21266308871799738,0.2126704837822997,0.2126770429022902,0.21268286057358624,0.2126880206100183,0.21269259735108645,0.21269665673293306,0.21270025723825436,0.2127034507388348,0.2127062832428444,0.21270879555766106,0.2127110238777697,0.21271300030620346,0.21271475331704442,0.2127163081656403,0.21271768725245327,0.21271891044577634,0.2127199953679737,,,,,,,,,,,,,,,,,
0.26125,0.1,0.008211261414446544,-0.04113152992804469,-0.02570674456334164,-0.006763917858776929,0.0126039768054197,0.0310563733504741,0.048062515908430026,0.06352259054814846,0.07746645272208989,0.08998313803769223,0.10118572255795656,0.11119355313028015,0.12012336365389098,0.12808504128862205,0.13517984843398195,0.14149993659815638,0.14712852566703088,0.15214040885122,0.15660259905555166,0.16057501760800189,0.1641111732761045,0.1672588054822422,0.1700604799610781,0.17255413293261312,0.1747735640534136,0.1767488805566179,0.17850689599871508,0.18007148740639858,0.181463914648189,0.18270310570627765,0.18380591128654852,0.18478733193083463,0.18566072051388005,0.18643796273365895,0.18712963794552973,0.1877451624517025,0.18829291713883234,0.18878036115795754,0.1892141331615831,0.18960014145115525,0.18994364424308335,0.19024932113138876,0.19052133670860022,0.1907633972023552,0.19097880089208005,0.1911704829869888,0.1913410555724246,0.19149284316535367,0.19162791436076027,0.1917481099980211,0.19185506822939433,0.19195024683090994,0.19203494305866226,0.192110311320285,0.19217737890179512,0.19223705996362983,0.19229016799622745,0.1923374269045969,0.19237948087270018,0.19241690314190205,0.1924502038229808,0.19247983684805647,0.19250620615709715,0.19252967120325237,0.19255055185199366,0.19256913274079585,0.19258566715874575,0.1926003804989355,0.1926134733306716,0.192625124133366,0.1926354917293547,0.19264471744880074,0.1926529270561795,0.1926602324646019,0.1926667332613389,0.1926725180653365,0.1926776657352264,0.19268224644429272,0.19268632263705032,0.19268994988046878,0.19269317762144872,0.1926960498608718,0.19269860575341402,0.1927008801412981,0.1927029040292591,0.19270470500719955,0.19270630762629423,0.1927077337336713,0.19270900277023348,0.19271013203567608,0.1927111369243176,0.19271203113495713,,,,,,,,,,,,,,,
0.26875000000000004,0.1,0.039399656818732316,-0.015102567642388154,-0.022784622598571558,-0.010644306409352808,0.004182538425455108,0.019629004175601733,0.03461803345046001,0.048712468743623644,0.06172559158893011,0.07360453404304447,0.08436842668997536,0.09407394235310083,0.1027957157375207,0.11061515310967476,0.11761409354568245,0.12387131859933698,0.12946074626507426,0.13445062020494664,0.13890328137870428,0.14287527288622817,0.14641762721375623,0.14957624481903917,0.15239230952377314,0.15490270861245056,0.15714043932457733,0.15913499188366764,0.1609127043593843,0.1624970877596886,0.16390912157427126,0.16516752102289028,0.16628897780530005,0.16728837639300456,0.16817898796614705,0.16897264405605714,0.1696798918518937,0.17031013299737718,0.17087174755853213,0.17137220469636522,0.17181816143572676,0.17221555078672202,0.17256966034965743,0.17288520241930305,0.17316637649922134,0.17341692504170228,0.17364018314287802,0.17383912284520542,0.17401639262999027,0.17417435262029163,0.1743151059587077,0.1744405267745885,0.17455228511054488,0.17465186913820446,0.17474060495750646,0.1748196742419885,0.17489012996410191,0.1749529104092239,0.17500885166441504,0.17505869874777702,0.17510311552626687,0.17514269355376408,0.17517795994687027,0.17520938440315248,0.17523738545516238,0.17526233604340952,0.17528456848242702,0.17530437888599967,0.175322031110437,0.17533776026836848,0.17535177585982456,0.17536426456228033,0.1753753927167991,0.17538530854337342,0.1753941441149554,0.1754020171164583,0.1754090324121492,0.17541528344230323,0.1754208534677159,0.1754258166786449,0.17543023918295048,0.17543417988658996,0.1754376912781959,0.17544082012818235,0.1754436081116934,0.17544609236368708,0.17544830597355016,0.1754502784258289,0.17545203599294634,0.17545360208513813,0.17545499756226454,0.17545624101165416,0.17545734899567914,0.17545833627235866,0.1754592159919298,0.1754599998720035,,,,,,,,,,,,,
0.27625,0.1,0.05221589095864304,0.004111282363123948,-0.015265120431842633,-0.010922202048703006,-1.095988890425538e-05,0.012576359607356207,0.02550595890071269,0.03810977884490119,0.0500396420729997,0.06112826117106699,0.07131119001857583,0.08058664220387886,0.08898962019301107,0.09657247137844495,0.10339574175150637,0.10952259998132663,0.11501549501146272,0.11993422053346364,0.12433486698774372,0.12826933107009558,0.13178517144130425,0.13492567479152554,0.13773004485861515,0.1402336583397177,0.14246835201244606,0.14446271866903448,0.14624239813615056,0.14783024414583235,0.1492466232660079,0.15051002716228332,0.1516369583690902,0.15264214320024935,0.15353872209252797,0.1543384197268052,0.1550516970381685,0.15568788701385364,0.15625531598511122,0.15676141194445037,0.15721280126187445,0.1576153950313261,0.15797446615026436,0.15829471811986429,0.1585803464495802,0.1588350934566447,0.15906229716749123,0.15926493495313748,0.15944566246341735,0.15960684836480668,0.1597506053327591,0.15987881770129822,0.15999316612953665,0.1600951496062689,0.16018610507935546,0.16026722496584767,0.1603395727713083,0.1604040970222297,0.16046164369351795,0.16051296729342804,0.16055874075084775,0.16059956423421956,0.1606359730174537,0.16066844449575002,0.16069740444314418,0.16072323259369045,0.1607462676193528,0.16076681156978814,0.1607851338321694,0.16080147466291683,0.16081604833760402,0.16082904596030748,0.16084063796921153,0.16085097637130086,0.16086019673542845,0.1608684199698786,0.1608757539077244,0.16088229472075935,0.1608881281805371,0.16089333078305118,0.16089797075179663,0.1609021089323653,0.16090579959030205,0.16090909112268256,0.16091202669274154,0.1609146447958738,0.16091697976442665,0.16091906221790458,0.1609209194644882,0.16092257585913225,0.16092405312293806,0.16092537062798845,0.16092654565138015,0.16092759360178374,0.16092852822150364,0.16092936176668562,0.16093010516803705,0.16093076817416524,,,,,,,,,,,
0.28375,0.1,0.059465542884231046,0.01934309637601942,-0.004904792634948692,-0.009977649016109915,-0.002479114449568903,0.00759642281683387,0.01864616809292834,0.02983504819951619,0.04069903222459083,0.05097988470300368,0.06054673042019862,0.06935401123159493,0.07740046624071492,0.0847112193578248,0.09132637446776308,0.097293738395047,0.10266420084989003,0.10748884144623536,0.11181716550928139,0.11569607863503971,0.11916934325231394,0.12227734704860845,0.12505707007432804,0.1275421751362019,0.12976317134896792,0.13174761767711302,0.13352034472568874,0.1351036807472219,0.13651767302759832,0.13778029930613261,0.13890766621910994,0.13991419330155477,0.14081278209049602,0.1416149705164679,0.14233107316610538,0.14297030822816978,0.14354091205353542,0.14405024230455302,0.14450487066674286,0.14491066606369735,0.145272869266386,0.14559615972885848,0.14588471541899167,0.14614226634894234,0.1463721424475681,0.14657731635762378,0.14676044168479274,0.1469238871739362,0.14706976724044846,0.14719996924122924,0.14731617783035664,0.14741989670884498,0.1475124680456364,0.14759508981793393,0.14766883129287023,0.14773464684905427,0.14779338831550137,0.14784581598660215,0.1478926084549006,0.14793437138834178,0.14797164536513344,0.1480049128672748,0.14803460452300105,0.14806110467873382,0.14808475637249757,0.14810586577305085,0.14812470614209688,0.14814152137078426,0.14815652913621716,0.1481699237187878,0.14818187851676495,0.14819254829066034,0.14820207116640335,0.14821057042323957,0.1482181560894816,0.14822492636675974,0.1482309689012009,0.14823636191798553,0.1482411752339631,0.14824547116143247,0.1482493053147819,0.1482527273304299,0.14825578150938415,0.1482585073907352,0.14826094026350853,0.14826311162349964,0.14826504958100517,0.14826677922472822,0.14826832294656908,0.1482697007315042,0.14827093041630623,0.1482720279204557,0.14827300745223126,0.14827388169264769,0.14827466195962258,0.14827535835449654,0.1482759798928044,,,,,,,,,,
0.29125,0.1,0.06422083437562318,0.0293640956076059,0.0027608022910194235,-0.00764726257302775,-0.003754029389003528,0.004138470803193442,0.013472772347397969,0.02332901726499928,0.03315966639653801,0.042640946937798435,0.05158570574155498,0.059908686993136534,0.06757769913214177,0.0745938676385627,0.0809787240983969,0.0867657229092253,0.09199466892198624,0.09670807958021575,0.10094884181619242,0.10475873877228956,0.10817756111205065,0.11124260995861704,0.11398846021656767,0.11644689473028635,0.11864694812524004,0.12061501862939072,0.12237501955494792,0.12394855135455093,0.1253550815451586,0.12661212419841383,0.12773541373210617,0.12873906982031783,0.12963575165886432,0.13043680077890482,0.13115237223561854,0.13179155440899995,0.1323624779091077,0.13287241422692597,0.13332786484833692,0.1337346415763737,0.1340979388025708,0.13442239844346088,0.13471216822110765,0.13497095392254438,0.13520206622584194,0.13540846263276887,0.13559278500125038,0.13575739312610344,0.1359043947744212,0.13603567254280416,0.13615290786750806,0.13625760248547586,0.13635109761405273,0.1364345910897887,0.1365091526819481,0.13657573777396473,0.13663519958591902,0.13668830009297928,0.13673571977845572,0.13677806634549483,0.136815882498331,0.1368496528922659,0.13687981034102564,0.13690674136072958,0.13693079112127873,0.13695226786843478,0.1369714468731224,0.1369885739584604,0.1370038686496419,0.13701752698696967,0.13702972403805005,0.13704061614130486,0.13705034290952725,0.13705902901913658,0.13706678580804846,0.13707371270262536,0.1370798984919869,0.13708542246600472,0.13709035543156073,0.1370947606200909,0.137098694498041,0.13710220749062113,0.13710534462813276,0.13710814612315017,0.1371106478859538,0.13711288198482072,0.13711487705707115,0.13711665867613976,0.1371182496793747,0.1371196704607675,0.1371209392323643,0.1371220722577098,0.13712308406031545,0.13712398760982428,0.13712479448825807,0.13712551503847842,0.13712615849676357,0.13712673311120177,,,,,,,,,
0.29874999999999996,0.1,0.06761915881537124,0.0363895613139084,0.009393270670143648,-0.003914998338110496,-0.005452593742587367,0.0007511147722921137,0.00876518609647079,0.017548563015182636,0.02651845534320862,0.03531617194839764,0.043716337283597716,0.0516058406288838,0.05893030567064235,0.06567281585905958,0.07184037614424679,0.07745482325905008,0.08254671347449923,0.08715122446738854,0.09130542987555186,0.09504651374679729,0.09841062977347806,0.10143220245320168,0.1041435298952465,0.10657459087742878,0.10875298838880276,0.11070398249930613,0.11245057979830322,0.1140136567442853,0.11541210136783717,0.11666296276515203,0.11778160133191626,0.11878183515212289,0.11967607967893845,0.12047547904094429,0.12119002812986963,0.12182868518404848,0.12239947495272929,0.12290958276531967,0.12336543997611125,0.12377280133718967,0.12413681489018163,0.12446208497554713,0.12475272894643258,0.1250124281498494,0.1252444737061536,0.12545180758198637,0.12563705941438263,0.1258025795062934,0.1259504683773431,0.1260826032189352,0.12620066157019974,0.12630614250095573,0.1264003855598913,0.12648458772053145,0.12655981853417864,0.1266270336777642,0.1266870870653014,0.12674074167423613,0.1267886792223065,0.1268315088163977,0.12686977468217828,0.12690396307189564,0.12693450843747284,0.12696179894686488,0.12698618141340667,0.12700796570051262,0.12702742865748975,0.12704481763631653,0.12706035363395526,0.12707423410003582,0.1270866354455188,0.12709771528416347,0.12710761443524324,0.1271164587129272,0.12712436052504353,0.12713142030152325,0.12713772777066348,0.12714336309941807,0.12714839791219928,0.12715289620113115,0.12715691513931757,0.127160505807458,0.12716371384304115,0.12716658002036557,0.12716914076875707,0.1271714286355673,0.1271734726998373,0.1271752989418825,0.12717693057349552,0.12717838833296294,0.12717969074864563,0.1271808543744724,0.12718189400033877,0.1271828228400863,0.12718365269945037,0.12718439412611146,0.12718505654375623,0.12718564837185367,0.12718617713266733,,,,,,,,
0.30625,0.1,0.07018720744754228,0.04165608506413793,0.015265053246317432,0.00017805775422712056,-0.004446298484420755,-0.00045779764445977094,0.0060273619639737465,0.013571072915356412,0.021548153431581854,0.0295524490214284,0.037325311744893834,0.04471252943895753,0.05163483233471514,0.05805519648077524,0.06396448601953587,0.06937163362310937,0.0742969065039092,0.07876779093570986,0.08281465333146631,0.08646921656094762,0.08976337026046328,0.09272819876302697,0.09539337480149312,0.09778680621512956,0.09993445628599891,0.1018602817547304,0.1035862490837367,0.10513240123365292,0.1065169555271672,0.10775641908609573,0.10886571253648648,0.10985829567123495,0.11074629806753881,0.11154070668779416,0.11225128658131021,0.11288680911263055,0.11345514661261286,0.11396335973064678,0.1144177775605559,0.11482407078585363,0.1151873181977955,0.11551206700135563,0.11580238735379544,0.1160619215879704,0.11629392856518014,0.11650132358540752,0.11668671425991922,0.11685243272501297,0.1170005645480311,0.11713297464884874,0.11725133053273577,0.11735712310431323,0.11745168530760983,0.11753620881415068,0.11761175895964912,0.11767928811023023,0.11773964762114494,0.11779359853456581,0.11784182114819106,0.11788492357292515,0.11792344938574614,0.11795788447290059,0.1179886631486942,0.11801617362626077,0.11804076290871329,0.11806274116191333,0.11808238562366927,0.11809994409840747,0.1181156380811975,0.11812966555038507,0.11814220346394154,0.11815340999093144,0.11816342650617803,0.11817237937323663,0.11818038153812792,0.1181875339539041,0.11819392685399668,0.11819964089038987,0.11820474815096477,0.11820931306883722,0.11821339323515256,0.11821704012558562,0.1182202997497046,0.11822321323138871,0.11822581732761807,0.11822814489217832,0.11823022529012946,0.11823208476826416,0.11823374678623072,0.11823523231249493,0.11823656008887597,0.11823774686699173,0.11823880761959715,0.11823975572948056,0.11824060315830237,0.1182413605975045,0.11824203760319478,0.11824264271670909,0.1182431835723699,0.11824366699380276,,,,,,,
0.31375,0.1,0.07220543978444585,0.045770549400210525,0.0203456711157412,0.003922296542568307,-0.00344088306265024,-0.0021820266868804433,0.0031398612329201496,0.009740516198769157,0.016932291268983726,0.024289510444816458,0.03153826170182274,0.0384963007712897,0.0450681351262349,0.05120281547424729,0.05687947807908771,0.06209730186688873,0.06686908685839903,0.07121549081579412,0.07516114522737016,0.07873336718418136,0.08196047709517622,0.08487067197734842,0.08749129072381694,0.08984835516349338,0.091966304115808,0.09386786131996383,0.09557399499922706,0.09710393890942567,0.0984752534059093,0.09970391131691239,0.10080439791962603,0.10178981756585906,0.10267200184549935,0.10346161585850702,0.10416826037060646,0.10480056848508323,0.10536629606820012,0.10587240558794052,0.10632514331554345,0.10673011003346002,0.10709232551886153,0.1074162871483205,0.10770602301111781,0.10796513993625122,0.10819686683923244,0.10840409378465321,0.10858940714323999,0.10875512120052962,0.10890330655038895,0.10903581558176997,0.10915430534230468,0.10926025803823007,0.10935499940712094,0.10943971517822794,0.10951546581501297,0.1095831997157841,0.10964376503115254,0.10969792024132402,0.10974634362191982,0.10978964171402361,0.10982835690237533,0.10986297419498832,0.10989392728786551,0.10992160398983612,0.10994635107475066,0.10996847862127093,0.10998826389420863,0.11000595481571948,0.11002177306960215,0.11003591687740966,0.11004856348101658,0.1100598713626389,0.11006998223004175,0.11007902279174636,0.11008710634443303,0.11009433419239267,0.11010079691678765,0.11010657551060322,0.11011174239349658,0.11011636231924724,0.11012049318717104,0.1101241867676582,0.11012748935092188,0.11013044232708252,0.1101330827048546,0.11013544357533275,0.11013755452668725,0.11013944201496499,0.11014112969564119,0.11014263872007582,0.11014398800058942,0.1101451944474804,0.11014627318095271,0.11014723772061007,0.11014810015489129,0.1101488712925702,0.11014956079821821,0.11015017731332719,0.11015072856461099,0.11015122146084198,,,,,,,
0.32125000000000004,0.1,0.07383828459151986,0.04908408671803688,0.025529939788192138,0.00787532246764635,-0.001368884623411123,-0.0030399090414304766,0.0011021700245399516,0.006770925045424782,0.013176047675315381,0.01988139803987026,0.026592900920751353,0.03311538158524349,0.03932914985614438,0.0451700135692813,0.05060585462308105,0.055626412069773236,0.0602362985331978,0.06445037524880906,0.06828781877612126,0.07177148944827622,0.07492607491649271,0.07777681571439278,0.08034864689860466,0.08266563664490384,0.08475063598848351,0.08662507774916092,0.08830887985554019,0.08982042070100187,0.09117656317586392,0.09239271057537768,0.09348288235942157,0.0944598012220243,0.09533498546698223,0.09611884253330744,0.09682076085553776,0.09744919821383825,0.0980117654260948,0.09851530473140366,0.09896596256492102,0.09936925666732327,0.09973013763720254,0.10005304514302572,0.1003419590786458,0.10060044598443271,0.1008317010734795,0.101038586205333,0.10122366414291824,0.10138922941511201,0.1015373360902186,0.1016698227461299,0.10178833490246075,0.10189434515928339,0.10198917126683453,0.10207399233111628,0.1021498633418967,0.10221772819237288,0.10227843134375374,0.1023327282732569,0.10238129483047273,0.10242473561467988,0.10246359147443848,0.10249834622056829,0.10252943263436558,0.10255723784455029,0.10258210813888977,0.10260435326964522,0.10262425030586834,0.10264204708007196,0.10265796527185514,0.10267220316662327,0.10268493812356065,0.1026963287834386,0.10270651704364077,0.10271562982491408,0.10272378065178245,0.10273107106625581,0.10273759189240254,0.10274342436750666,0.10274864115387572,0.1027533072438851,0.10275748076951856,0.10276121372647831,0.10276455262187756,0.10276753905357686,0.10277021022837651,0.10277259942551714,0.10277473641125921,0.10277664780970439,0.10277835743447623,0.1027798865853912,0.10278125431381502,0.10278247766000945,0.10278357186542525,0.10278455056258669,0.10278542594493142,0.10278620891872321,0.10278690923892808,0.102787535630748,0.10278809589832491,0.10278859702197032,0.10278904524513092,,,,,,
