r_R,alpha,inflow,a,a_prime,Ct,Cx,Cy,Cq,Cp
0.25375000000000003,-4.505314401766057,1.2709106147580427,-0.002499243903597046,0.17090266968902093,-0.0009128116118185462,-0.0012907050814686839,0.032834463053770364,0.02322116830356313,0.14590290350049218
0.26125,-4.305168151193115,1.2608724196442458,0.006816505367226719,0.1581827090890578,0.0043374860998868486,0.006167130739386493,0.05481423230303453,0.0385521210506749,0.24223012054620938
0.26875000000000004,-4.15259596769198,1.2516645480055044,0.010323771222928962,0.15271443512477106,0.008479770950761557,0.012259333998993338,0.0714518901654463,0.04942321196323751,0.3105351992410363
0.27625,-4.01601857748949,1.2427358381720242,0.012618465771531374,0.14901001192385438,0.012246465878681617,0.018032022519794348,0.08624070077124774,0.05857045699403626,0.36800903481972247
0.28375,-3.887128311526766,1.2339412939693504,0.014411267696115209,0.1460340831276033,0.015828582539848077,0.023741314641582526,0.10008046865110952,0.06672469417337963,0.4192436180562302
0.29125,-3.7628037737853504,1.2252264367504475,0.015942534739790168,0.14341876534139983,0.019315790731888202,0.029503756776295194,0.11333094607908309,0.0741965456998747,0.46619064578493147
0.29874999999999996,-3.6415078445431703,1.2165644387210532,0.017313310168848527,0.1409977372269669,0.022749553346991778,0.03536990631986133,0.12616256519067875,0.08114644074288924,0.5098581242056406
0.30625,-3.522442550402374,1.2079413726186292,0.01857458070384671,0.13868587291791504,0.026151267642057077,0.04136286853200556,0.13866172737873006,0.08766751613606617,0.5508312493030603
0.31375,-3.4051935341537245,1.1993500065456426,0.01975237265366447,0.13643901020820798,0.0295280490395642,0.04748527918319077,0.1508754830311185,0.09381978454198554,0.589487091756958
0.32125000000000004,-3.289564914539014,1.190786921729245,0.020867179248683226,0.13422866515994655,0.03288961984974264,0.05374433241078748,0.16282233828401158,0.0996414797441125,0.62606588151384
0.32875,-3.1754838697336396,1.1822508471885995,0.02193111900823139,0.13203943773944338,0.03623973445355057,0.06013847391044497,0.17450894501288067,0.10515993200140333,0.6607393396552218
