r_R,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5
0.25375000000000003,0.824280892618113,0.824218327238198,-1.046539526678624,0.1772639474387222,0.17088491498487837,0.17090266968902093
0.26125,0.7226590014290292,0.7225717382692668,-0.1899330075581239,0.161267652167133,0.15817301263976008,0.1581827090890578
0.26875000000000004,0.660309667064962,0.6602112688026714,-0.05568958184703483,0.15472357191647104,0.1527084556493181,0.15271443512477106
0.27625,0.612970078249559,0.6128652572393093,0.002446811935319486,0.15048256844348226,0.1490063047162329,0.14901001192385438
0.28375,0.5740675271483549,0.5739587547293533,0.035227308236032664,0.14714507911616315,0.1460330671391265,0.1460340831276033
0.29125,0.5407426318154348,0.5406314425769371,0.056103263046283776,0.14427426108048924,0.14341801035493235,0.14341876534139983
0.29874999999999996,0.5114634754391486,0.5113509147989538,0.07032512791442205,0.14165620264668635,0.1409970250393526,0.1409977372269669
0.30625,0.4853010219908713,0.4851878436654818,0.08037177525324365,0.13919805669634058,0.13868520643917892,0.13868587291791504
0.31375,0.46164247827477217,0.46152924585818,0.08761773107206025,0.1368417398293954,0.13643841644224575,0.13643901020820798
0.32125000000000004,0.4400580778308917,0.439945222907542,0.09287526242381122,0.13455734433042157,0.13422820362378207,0.13422866515994655
0.32875,0.42023192310946955,0.42011978123362126,0.09669087538207569,0.13230976212036807,0.13203907559814038,0.13203943773944338
0.33625,0.4019230331183292,0.40181186749789016,0.09941918966194946,0.13008695994766042,0.12986289742804843,0.12986318387294285
0.34375,0.3849419772699315,0.38483199513662075,0.10131083228872771,0.12788310673582468,0.1276964822228167,0.12769670483703863
0.35125,0.36913613374713916,0.36902749812743396,0.10254520374220459,0.12569437665310274,0.12553825920984113,0.12553843725285818
0.35875,0.35437999483751065,0.35427283329402115,0.10325589684502164,0.1235179557089915,0.12338683350198798,0.12338697665955235
0.36624999999999996,0.34056856465172364,0.3404629759488867,0.10354538555340496,0.12135349913389809,0.12124299669432356,0.12124311234824986
0.37375,0.3276127261149222,0.3275087854138153,0.10349488349673555,0.11920157884901893,0.11910806462620079,0.11910815777340814
0.38125,0.3154359039896029,0.3153336669697436,0.10316544228412798,0.1170524711983476,0.11697970607181717,0.11697965591475556
0.38875,0.3039716055311747,0.3038711117096736,0.10260694470084251,0.11491630161648109,0.11486240174531909,
0.39625,0.2931615705170644,0.293062845954226,0.10185992235317362,0.11279754672783435,0.11275949855260904,
0.40375,0.2829543538977734,0.28285741342484044,0.10094844917284454,0.11070222078653166,0.11067264503603409,
0.41125,0.27330422176999086,0.27320907083868207,0.09990620984985696,0.1086278620762902,0.10860337145504008,
0.41874999999999996,0.26417027839900026,0.264076914627537,0.09876002127938824,0.10657376509986467,0.10655358510642175,
0.42625,0.2555157664439641,0.2554241809166191,0.09752857232499981,0.10454094413039719,0.10452443775006212,
0.43374999999999997,0.24730749899379617,0.2472176773582317,0.09622756223086276,0.10253009146308735,0.10251670263063041,
0.44125000000000003,0.2395153933164617,0.23942731671372175,0.09487096228330623,0.10054219605714963,0.10053142095983339,
0.44875,0.2321120841125124,0.23202572996748144,0.09346931041281979,0.0985780532553749,0.09856950153557209,
0.45625,0.22507259965944068,0.22498794235421365,0.09203207412308906,0.09663838042125554,0.09663172664176976,
0.46375,0.218374088260955,0.21829109970941232,0.09056741198199421,0.09472153998520963,0.09471768315882918,
0.47125,0.21199558535308774,0.21191423549171734,0.08908230239406245,0.09282742831191036,0.09282754473553048,
0.47875,0.20591781378882415,0.20583807099625712,0.087582512259449,0.09096005635701326,0.09096347313565027,
0.48624999999999996,0.20012301144423514,0.20004484289989427,0.08606848190832471,0.08912195261586789,0.08912579595888225,
0.49375,0.19459478151384602,0.19451815350443522,0.08455016646702081,0.08731058500254267,0.08731476274489328,
0.50125,0.1893179617977441,0.18924283997894265,0.08303129308987574,0.08552610992883646,0.08553054245541118,
0.50875,0.18427851000336795,0.1842048596229686,0.08151506491214255,0.08376861429207755,0.0837732322189452,
0.51625,0.1794634026453295,0.17939118873312807,0.08000423350275687,0.08203812189426392,0.0820428641549732,
0.5237499999999999,0.1748605455664009,0.1747897330953688,0.0785011602355063,0.08033459951056153,0.08033941176901795,
0.53125,0.17045869445085118,0.17038924847347084,0.07700786850367393,0.07865567830508949,0.07866148784259873,
0.53875,0.16624738397899894,0.1661792697420904,0.07552608833008961,0.07700351503117694,0.07701027852890699,
0.54625,0.16221686449512426,0.16215004753602658,0.07405565636448012,0.07537894789323288,0.07538578094527476,
0.55375,0.15835804524177546,0.15829249146835095,0.07259891095687762,0.07378127645769754,0.07378777901726628,
0.56125,0.15466244336113566,0.15459811911772406,0.0711577837364238,0.07220987190280666,0.07221602561777679,
0.56875,0.1511221379854676,0.15105901010662928,0.06973313700177933,0.07066445760741207,0.07067024342192771,
0.5762499999999999,0.14772972883912558,0.14766776469276188,0.06832568803525518,0.06914473255210078,0.06915013039543556,
0.58375,0.14447829885840102,0.14441746637962272,0.06693602747130735,0.06765037457856828,0.06765536308334918,
0.5912499999999999,0.14136138040582583,0.14130164812275767,0.0655646353511064,0.06618104337207685,0.06618559961319978,
0.59875,0.1383729247151092,0.13831426176765177,0.06421189519054918,0.06473638318711174,0.06474048243412113,
0.60625,0.13550727425367706,0.13544965040610796,0.06287810634070753,0.06331602533572335,0.06331964081255083,
0.61375,0.13275913773348721,0.13270252338165905,0.06156349487649571,0.06191959045725048,0.061922693104071114,
0.62125,0.13012356753876628,0.13006793371254918,0.06026822321409595,0.06054669058721675,0.060549248819841646,
0.62875,0.1275959393726575,0.12754125773417643,0.0589923986295999,0.059196931042269765,0.05919891050496922,
0.63625,0.1251719339544208,0.12511817679255363,0.05773608082508032,0.057869912137084194,0.05787127544507253,
0.64375,0.12284752062557766,0.12279466084710114,0.05649928867230662,0.0565652307482875,0.0565659372162787,
0.65125,0.12061894274794539,0.12056695386564499,0.05528200624245916,0.05528248173958925,,
0.65875,0.11848270479946583,0.11843156091746353,0.05408418822243281,0.054021259261594595,0.05402051532633995,
0.66625,0.11643556109570999,0.11638523689220247,0.05290576479979339,0.05278115793904858,0.052779612307439175,
0.67375,0.11447450608647564,0.11442497679401718,0.051746646097183185,0.05156177395780514,0.05155936962492735,
0.68125,0.11259676619858011,0.11254800758199324,0.050606726221716095,0.050362706063304966,0.05035938103071161,
0.68875,0.11079979321839128,0.11075178155033114,0.04948588699456131,0.049183556482144106,0.049179243323440515,
0.69625,0.10908125923151234,0.10903397126565692,0.048384001419645974,0.04802393177819725,0.04801855716096681,
0.70375,0.10743905316311456,0.10739246610489721,0.04730093694623694,0.0468834436548381,0.046876927812406745,
0.7112499999999999,0.10587127899162166,0.10582537046636167,0.04623655858048096,0.04576170971515606,0.04575396586058353,
0.71875,0.10437625574190103,0.10433100376012264,0.0451907319009099,0.04465835419268193,0.044649287865981595,
0.72625,0.10295251940320281,0.10290790232286083,0.0441633260319459,0.043572961273607574,0.0435624516604528,0.043562463121667075
0.73375,0.10159882696355271,0.10155482344880119,0.043154216636403314,0.04250378452726946,0.04249232388129938,
0.74125,0.10031416280839903,0.1002707517844419,0.04216270461955159,0.04145207636458772,0.041439334612432696,
0.74875,0.09909774779992267,0.09905490840337619,0.041188471226624376,0.040417582331591005,0.040403130722744894,
0.75625,0.0979490514383661,0.0979067629624264,0.040232180342229376,0.03939967975964567,0.03938337452692414,
0.7637499999999999,0.09686780761302262,0.09682604944657196,0.03929376749108943,0.03839804891108067,0.03837973297188294,
0.77125,0.09585403458488186,0.09581278614446849,0.038373192119113,0.0374123821345601,0.03739188353750061,0.03739187422120463
0.77875,0.09490806001438211,0.09486730066776568,0.037470442424470236,0.03644238503527385,0.036419515162792265,0.03641950385887894
0.78625,0.0940305520685927,0.09399026104824146,0.036585540954160986,0.03548777785061121,0.03546232932563558,0.03546231568400692
0.79375,0.09322255792935397,0.09318271423389883,0.03571855118610287,0.03454823416951342,0.03451992361892781,0.034519945335995776
0.80125,0.09248555140094557,0.0924461336821077,0.034869585379976434,0.03362178007058575,0.03359128165248726,
0.80875,0.09182149181573122,0.09178247824761666,0.034038814060874084,0.032709942408412504,0.032677008285728594,0.032676987536937006
0.8162499999999999,0.09123289710581743,0.0911942652326633,0.033224906357081564,0.0318132574167492,0.03177685373315635,0.03177682732868713
0.82375,0.0907229348154896,0.09068466137288939,0.03242959773961022,0.03093089813750929,0.030890624174689085,0.030890592799306997
