r_R,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5
0.25375000000000003,-3.345376199437713,-3.3564665251196866,-0.06210869790352694,-0.0015671302750242659,-0.0025018226394544086,-0.002499243903597046
0.26125,4.468078351455857,4.434103496748766,-0.026820846697814385,0.007303820402234015,0.006814982189876608,0.006816505367226719
0.26875000000000004,1.6918883262631783,1.6855637304289395,-0.014702491663724145,0.010664503970231071,0.010322761134503955,0.010323771222928962
0.27625,1.1180515876479271,1.1147773248407649,-0.007686012996798327,0.01288570602386741,0.01261779505308373,0.012618465771531374
0.28375,0.8620233931178063,0.8598144688763174,-0.0027683270040406134,0.014625922977482116,0.014411071879358927,0.014411267696115209
0.29125,0.71440679894712,0.7127292537977914,0.001034070246968084,0.01611856721234636,0.01594237969871469,0.015942534739790168
0.29874999999999996,0.6173060876394162,0.6159450924669427,0.004155438997107309,0.01745731977728632,0.01731315466132748,0.017313310168848527
0.30625,0.5480860584183805,0.5469347796034159,0.006822041278994664,0.018693429416977655,0.0185744262555047,0.01857458070384671
0.31375,0.49600085633735547,0.49499865890263545,0.009162836874999027,0.019851166888138465,0.019752227153494267,0.01975237265366447
0.32125000000000004,0.45526257898751443,0.45437178573322273,0.011252422842861364,0.02095245686032644,0.020867059610790672,0.020867179248683226
0.32875,0.42246286647097947,0.4216584680586613,0.013153701058084524,0.022005190016237058,0.02193101985684368,0.02193111900823139
0.33625,0.39545644520079726,0.39472098545198014,0.0149035190252919,0.02301652759490756,0.0229517806755215,0.022951863392916997
0.34375,0.37282148115586855,0.37214228457203585,0.01652605576070563,0.023990235041085977,0.023933540754367485,0.02393360834230846
0.35125,0.35357593688317357,0.3529435008630125,0.018042152846338737,0.024929890822759152,0.024880004944253943,0.024880061807361426
0.35875,0.33701828965954894,0.33642530029457196,0.019467633501708197,0.025839557528668417,0.025795540545741596,0.025795588581702805
0.36624999999999996,0.3226331557010822,0.3220738579559082,0.020813781180572418,0.026721128464764182,0.026682204498151396,0.026682245221018735
0.37375,0.3100328310273052,0.3095026104790687,0.022087267336325742,0.02757607871597116,0.027541554226458032,0.02754158860386656
0.38125,0.298919699040754,0.29841479524223663,0.02329730808296173,0.0284003086728204,0.02837221046463383,0.028372191101777893
0.38875,0.28906127105030843,0.28857857571805284,0.024449936648634533,0.029198651995170907,0.029176884568927395,
0.39625,0.2802731499985884,0.27981006155111265,0.02554983811946639,0.029973340950885757,0.02995728737109015,
0.40375,0.2724071182106188,0.2719614347436033,0.026596255192983365,0.03072701324184586,0.030713988445079277,
0.41125,0.26534262911509104,0.26491246821126463,0.027595353047333473,0.031458681996295944,0.031447435457109166,
0.41874999999999996,0.25898061459651056,0.2585643522597779,0.028552065011268984,0.0321670476959252,0.032157404812312766,
0.42625,0.2532389012524344,0.2528351247236915,0.02946872918989553,0.03285260286987122,0.03284439308021108,
0.43374999999999997,0.24804876589762354,0.2476562367140838,0.030347364580262257,0.03351607368284998,0.0335091483900251,
0.44125000000000003,0.24335231165320798,0.24296993637954792,0.031188795453248742,0.034157671996291376,0.03415188084969404,
0.44875,0.23910044431905633,0.2387272511019944,0.03199546925206445,0.034777543145878734,0.034772771278324344,
0.45625,0.2352512941157135,0.23488641371321792,0.03276886359350198,0.035375829425213605,0.035371977755688504,
0.46375,0.23176897216207443,0.23141162244920419,0.03351018418146873,0.035951081591311496,0.03594876867137623,
0.47125,0.22862258155094625,0.228272054754429,0.0342205109622294,0.03650282848172022,0.03650290080098556,
0.47875,0.22578542421534226,0.2254410763097884,0.03490066171119235,0.03703365503126069,0.03703585185524657,
