R,J,Total Thrust,Total Torque,Total Power,CT,CQ,CP
0.7,1.3333333333333333,12.719152164718663,-142.6799265348033,-480.259509660503,11.463717634500295,-91.85486403967457,-171.46241287405917
0.7,1.6666666666666663,12.719225483584374,-142.68054159753444,-384.2092639654519,17.912162057002284,-143.52384376000276,-334.8889687733397
0.7,1.9999999999999998,12.719265470723863,-142.68087637259896,-320.1751378713648,25.793594452619658,-206.6748199397698,-578.6894958313554
0.7,2.333333333333333,12.71928964688199,-142.68107871401926,-274.4362216495285,35.10801473642615,-281.3077927401021,-918.938789617667
0.7,2.6666666666666665,12.719305385552095,-142.68120997080013,-240.131914847983,45.85542292713764,-367.4227611741088,-1371.7116417166726
0.7,2.9999999999999996,12.719316225777515,-142.68130038104044,-213.45072622938804,58.03581910404398,-465.0197267714952,-1953.0828524402796
0.7,3.3333333333333326,12.71932397888051,-142.68136493246564,-192.10574051828502,71.64920306170039,-574.0986878447623,-2679.127209942223
0.7,3.6666666666666665,12.719329752343334,-142.6814128663871,-174.6416409603326,86.6955750568631,-694.6596456635612,-3565.9195144062805
0.7,3.9999999999999996,12.719334099671354,-142.68144887925374,-160.08821128664678,103.17493450527941,-826.7025968878438,-4629.534542571925
