r_R,alpha,inflow,a,a_prime,Ct,Cx,Cy,Cq,Cp
0.25375000000000003,4.388529530727183,63.92397046927282,0.0781066994479725,0.21272095764935917,0.28800270750908585,0.061499092422217586,0.09599303965259685,0.07984940766039235,0.5017086249987703
0.26125,3.9060912506395624,64.03140874936044,0.06206756389335982,0.19271282685761587,0.23284187542386933,0.0841721784972314,0.14790738631990208,0.07482327667534903,0.4701285126415861
0.26875000000000004,3.6650810564712515,63.89741894352875,0.054719386658629396,0.17546069835363856,0.20688356241426398,0.09617280406547153,0.17323958480129992,0.07010796388686592,0.440501328610233
0.27625,3.514842765289231,63.67265723471077,0.04980204674747041,0.16093135947941545,0.1892723109587801,0.10421425332669138,0.1887293637680739,0.066282635157932,0.41646607934546337
0.28375,3.4125321312717602,63.39996786872824,0.04609214700751603,0.14827653462098922,0.1758563712081999,0.11014819596118945,0.19875372893152587,0.06302747580755799,0.3960133099426652
0.29125,3.3415824695803167,63.09591753041968,0.04310275873816506,0.13712724624741707,0.164966190846933,0.11472949629421714,0.20541429124154978,0.06021635855222113,0.3783505393071736
0.29874999999999996,3.292374235420141,62.77012576457986,0.04060050722078832,0.12718664954686368,0.15579583329675678,0.11837118507175609,0.20977148969278767,0.057738069534634215,0.362778990164927
0.30625,3.2589795231804572,62.42852047681954,0.03845195405179166,0.11824409908002471,0.14788191912223908,0.12132001234070866,0.21245389045895668,0.05551642065724021,0.34881995858077297
0.31375,3.2376653433356353,62.074834656664365,0.03657489357641108,0.11015166217943739,0.14093659221936333,0.12374068750056974,0.21388568100545116,0.053502580236886296,0.3361666260406009
0.32125000000000004,3.2255862806364846,61.711913719363515,0.03491006603098218,0.102789446152174,0.13475428267194559,0.1257361579991963,0.21434265893090682,0.05165735684748219,0.3245727455518329
0.32875,3.220705443476625,61.341794556523375,0.033416908164473985,0.0960636869082654,0.1291906704914125,0.12738126994341115,0.2140273684478203,0.04995266822890694,0.3138618710702846
0.33625,3.22156491122211,60.96593508877789,0.032066713315965376,0.08990131410575632,0.12414332556055957,0.12873562178697093,0.21309916316968425,0.048368956422284115,0.30391111631610523
0.34375,3.22703092860214,60.58546907139786,0.03083707292930884,0.08424276996083933,0.11953507176286149,0.1298457643168439,0.211682034388518,0.046891303656964825,0.2946267501719378
0.35125,3.236196502441217,60.20130349755878,0.029711723488948315,0.0790365897568629,0.11530607042193888,0.13074937753436372,0.20987511930862213,0.045508012721370505,0.28593527688985687
0.35875,3.2483230327407355,59.814176967259264,0.02867691663234535,0.07423994328327274,0.11140941022789333,0.1314776903675571,0.2077590282573688,0.04420991337258348,0.27777907813429886
0.36624999999999996,3.2629290572613456,59.424570942738654,0.027724215539630944,0.06981856755840642,0.1078134297253636,0.13206508013216134,0.2054141510993326,0.04299232133712232,0.2701287217469504
0.37375,3.2793943653556497,59.03310563464435,0.02684363234864407,0.06573674626807596,0.10448321167396381,0.1325295614587529,0.2028872674688391,0.04184733322469521,0.26293454926205306
0.38125,3.297251910388894,58.640248089611106,0.026027683013064525,0.06196507124622258,0.1013928361964271,0.13289051913043043,0.20022405445080407,0.040769690754315004,0.25616352192576747
0.38875,3.3161115855035703,58.24638841449643,0.02527102737617902,0.05847714468941941,0.0985214103601928,0.13316638074396336,0.1974653886365561,0.03975533799772525,0.24979015558926562
0.39625,3.3356331934106223,57.85186680658938,0.02456858207794667,0.0552501752090978,0.09585161934984891,0.13337393792955587,0.19464660883510188,0.03880097486655066,0.24379371518575552
0.40375,3.355516573846124,57.456983426153876,0.023916065323148907,0.05226371898256966,0.09336892087715173,0.1335287221186661,0.1917985693306773,0.03790387274631011,0.23815705632482043
0.41125,3.375493904380882,57.06200609561912,0.023310476691314336,0.049498643326456364,0.09106093716071306,0.13364529557417373,0.18894846096453885,0.03706173526508616,0.2328657504761689
0.41874999999999996,3.3953266762524095,56.66717332374759,0.022748683849852108,0.04693834069223963,0.08891724925237382,0.13373730397514533,0.18612015865330767,0.03627268705868305,0.22790801437904046
